SeqNo,Date,UTC Time,int_hor_pos(m),src_hor_pos(m),mrk_hor_pos(m),int_ver_pos(m),src_ver_pos(m),mrk_ver_pos(m),int_mas_trq(Nm),src_mas_trq(Nm),int_sla_trq(Nm),src_sla_trq(Nm),int_ver_trq(Nm),src_ver_trq(Nm),xray_active(-),error_code(-),rt_ts(ms)
1,2026-03-19,16:37:29.376,5.172607,5.172974,5.173233,0.423965,0.425301,0.429019,1.000253,-0.309357,0.824951,-0.268109,19.902344,16.220703,251.312500,-1.000000,2.001880
2,2026-03-19,16:37:29.378,5.172607,5.172974,5.173193,0.423965,0.425301,0.428982,1.082748,-0.402164,0.866199,-0.329980,19.951172,16.289063,252.437500,-1.000000,1.996149
3,2026-03-19,16:37:29.380,5.172607,5.172974,5.173125,0.423965,0.425301,0.428972,1.010565,-0.329980,0.783704,-0.288733,19.931641,16.254883,249.250000,-1.000000,2.000258
4,2026-03-19,16:37:29.382,5.172607,5.172974,5.173213,0.423965,0.425301,0.428959,0.835263,-0.226862,0.680585,-0.164990,19.916992,16.245117,252.312500,-1.000000,1.999327
5,2026-03-19,16:37:29.384,5.172607,5.172974,5.173098,0.423965,0.425301,0.428965,1.041501,-0.371228,0.845575,-0.319669,19.902344,16.235352,252.375000,-1.000000,2.000692
6,2026-03-19,16:37:29.386,5.172607,5.172974,5.173166,0.423965,0.425301,0.428945,0.804327,-0.226862,0.690897,-0.164990,19.912109,16.235352,253.187500,-1.000000,2.003238
7,2026-03-19,16:37:29.388,5.172607,5.172974,5.173101,0.423965,0.425301,0.428959,0.979629,-0.288733,0.763080,-0.268109,19.887695,16.210938,252.187500,-1.000000,1.998395
8,2026-03-19,16:37:29.390,5.172607,5.172974,5.173307,0.423965,0.425301,0.428976,0.794015,-0.237173,0.639337,-0.185614,19.916992,16.250000,255.625000,-1.000000,2.002500
9,2026-03-19,16:37:29.392,5.172607,5.172974,5.173105,0.423965,0.425301,0.428952,1.154932,-0.556842,0.959006,-0.453723,19.916992,16.269531,251.687500,-1.000000,1.996661
10,2026-03-19,16:37:29.394,5.172607,5.172974,5.173182,0.423965,0.425301,0.428959,0.794015,-0.278421,0.649649,-0.185614,19.897461,16.235352,251.750000,-1.000000,2.003598
