SeqNo,Date,UTC Time,int_hor_pos(m),src_hor_pos(m),mrk_hor_pos(m),int_ver_pos(m),src_ver_pos(m),mrk_ver_pos(m),int_mas_trq(Nm),src_mas_trq(Nm),int_sla_trq(Nm),src_sla_trq(Nm),int_ver_trq(Nm),src_ver_trq(Nm),xray_active(-),error_code(-),rt_ts(ms)
1,2026-03-19,16:37:29.376,5.172607,5.172974,5.173233,0.423965,0.425301,0.429019,1.000253,-0.309357,0.824951,-0.268109,19.902344,16.220703,251.312500,-1.000000,2.001880
2,2026-03-19,16:37:29.378,5.172607,5.172974,5.173193,0.423965,0.425301,0.428982,1.082748,-0.402164,0.866199,-0.329980,19.951172,16.289063,252.437500,-1.000000,1.996149
3,2026-03-19,16:37:29.380,5.172607,5.172974,5.173125,0.423965,0.425301,0.428972,1.010565,-0.329980,0.783704,-0.288733,19.931641,16.254883,249.250000,-1.000000,2.000258
4,2026-03-19,16:37:29.382,5.172607,5.172974,5.173213,0.423965,0.425301,0.428959,0.835263,-0.226862,0.680585,-0.164990,19.916992,16.245117,252.312500,-1.000000,1.999327
5,2026-03-19,16:37:29.384,5.172607,5.172974,5.173098,0.423965,0.425301,0.428965,1.041501,-0.371228,0.845575,-0.319669,19.902344,16.235352,252.375000,-1.000000,2.000692
6,2026-03-19,16:37:29.386,5.172607,5.172974,5.173166,0.423965,0.425301,0.428945,0.804327,-0.226862,0.690897,-0.164990,19.912109,16.235352,253.187500,-1.000000,2.003238
7,2026-03-19,16:37:29.388,5.172607,5.172974,5.173101,0.423965,0.425301,0.428959,0.979629,-0.288733,0.763080,-0.268109,19.887695,16.210938,252.187500,-1.000000,1.998395
8,2026-03-19,16:37:29.390,5.172607,5.172974,5.173307,0.423965,0.425301,0.428976,0.794015,-0.237173,0.639337,-0.185614,19.916992,16.250000,255.625000,-1.000000,2.002500
9,2026-03-19,16:37:29.392,5.172607,5.172974,5.173105,0.423965,0.425301,0.428952,1.154932,-0.556842,0.959006,-0.453723,19.916992,16.269531,251.687500,-1.000000,1.996661
10,2026-03-19,16:37:29.394,5.172607,5.172974,5.173182,0.423965,0.425301,0.428959,0.794015,-0.278421,0.649649,-0.185614,19.897461,16.235352,251.750000,-1.000000,2.003598
11,2026-03-19,16:37:29.396,5.172607,5.172974,5.173206,0.423965,0.425301,0.428979,0.948694,-0.360916,0.763080,-0.309357,19.892578,16.250000,251.375000,-1.000000,1.992318
12,2026-03-19,16:37:29.398,5.172607,5.172974,5.173264,0.423965,0.425301,0.428928,0.959006,-0.422787,0.794015,-0.350604,19.902344,16.259766,251.687500,-1.000000,2.000046
13,2026-03-19,16:37:29.400,5.172607,5.172974,5.173156,0.423965,0.425301,0.428979,1.113684,-0.484659,0.835263,-0.402164,19.868164,16.206055,249.125000,-1.000000,2.003328
14,2026-03-19,16:37:29.402,5.172607,5.172974,5.173152,0.423965,0.425301,0.428996,0.866199,-0.350604,0.690897,-0.237173,19.926758,16.250000,252.500000,-1.000000,1.999788
15,2026-03-19,16:37:29.404,5.172607,5.172974,5.173024,0.423965,0.425301,0.428989,0.886822,-0.309357,0.701208,-0.257797,19.941406,16.264648,252.062500,-1.000000,2.003281
16,2026-03-19,16:37:29.406,5.172607,5.172974,5.173051,0.423965,0.425301,0.429016,0.670273,-0.164990,0.567154,-0.072183,19.936523,16.259766,253.062500,-1.000000,2.009069
17,2026-03-19,16:37:29.408,5.172607,5.172974,5.173129,0.423965,0.425301,0.429009,0.690897,-0.103119,0.587778,-0.103119,19.951172,16.289063,251.875000,-1.000000,1.983252
18,2026-03-19,16:37:29.410,5.172607,5.172974,5.173176,0.423965,0.425301,0.429023,0.814639,-0.247485,0.690897,-0.185614,19.956055,16.279297,254.625000,-1.000000,1.998835
19,2026-03-19,16:37:29.412,5.172607,5.172974,5.173159,0.423965,0.425301,0.428989,0.928070,-0.319669,0.752768,-0.237173,19.965820,16.284180,252.312500,-1.000000,1.999678
20,2026-03-19,16:37:29.414,5.172607,5.172974,5.172956,0.423965,0.425301,0.428989,0.866199,-0.319669,0.721832,-0.247485,19.921875,16.250000,252.500000,-1.000000,2.004311
21,2026-03-19,16:37:29.416,5.172607,5.172974,5.173038,0.423965,0.425301,0.428986,0.587778,-0.030936,0.443411,-0.020624,19.931641,16.264648,250.687500,-1.000000,1.994823
22,2026-03-19,16:37:29.418,5.172607,5.172974,5.173004,0.423965,0.425301,0.429016,0.690897,-0.103119,0.587778,-0.082495,19.926758,16.264648,252.437500,-1.000000,2.003027
23,2026-03-19,16:37:29.420,5.172607,5.172974,5.173075,0.423965,0.425301,0.429019,0.649649,-0.082495,0.525906,-0.061871,19.956055,16.293945,249.125000,-1.000000,1.996322
24,2026-03-19,16:37:29.422,5.172607,5.172974,5.172960,0.423965,0.425301,0.429009,0.773392,-0.154678,0.639337,-0.123743,19.970703,16.293945,252.062500,-1.000000,1.999240
25,2026-03-19,16:37:29.424,5.172607,5.172974,5.172943,0.423965,0.425301,0.429009,0.649649,-0.072183,0.505283,-0.030936,19.965820,16.274414,251.937500,-1.000000,1.997087
26,2026-03-19,16:37:29.426,5.172607,5.172974,5.172936,0.423965,0.425301,0.428965,0.577466,0.000000,0.474347,-0.010312,19.960938,16.279297,253.500000,-1.000000,1.999556
27,2026-03-19,16:37:29.428,5.172607,5.172974,5.173119,0.423965,0.425301,0.428952,0.567154,0.041248,0.484659,0.000000,19.916992,16.235352,252.187500,-1.000000,2.002522
28,2026-03-19,16:37:29.430,5.172607,5.172974,5.172987,0.423965,0.425301,0.428972,0.835263,-0.195926,0.690897,-0.134055,19.892578,16.230469,254.812500,-1.000000,1.999591
29,2026-03-19,16:37:29.432,5.172607,5.172974,5.172976,0.423965,0.425301,0.429003,0.608401,-0.020624,0.536218,0.000000,19.912109,16.245117,252.000000,-1.000000,2.000411
30,2026-03-19,16:37:29.434,5.172607,5.172974,5.172852,0.423965,0.425301,0.428976,0.659961,-0.051559,0.453723,-0.010312,19.946289,16.279297,252.375000,-1.000000,2.013525
31,2026-03-19,16:37:29.436,5.172607,5.172974,5.172943,0.423965,0.425301,0.428979,0.381540,0.061871,0.299045,0.061871,19.912109,16.245117,250.500000,-1.000000,1.995915
32,2026-03-19,16:37:29.438,5.172607,5.172974,5.173038,0.423965,0.425301,0.429019,0.505283,0.020624,0.453723,0.020624,19.921875,16.240234,252.187500,-1.000000,1.988959
33,2026-03-19,16:37:29.440,5.172607,5.172974,5.172906,0.423965,0.425301,0.428986,0.598090,-0.041248,0.577466,-0.020624,19.975586,16.289063,249.312500,-1.000000,1.999215
34,2026-03-19,16:37:29.442,5.172607,5.172974,5.173014,0.423965,0.425301,0.429003,0.484659,0.072183,0.350604,0.051559,19.926758,16.250000,251.937500,-1.000000,1.999546
35,2026-03-19,16:37:29.444,5.172607,5.172974,5.172929,0.423965,0.425301,0.429003,0.567154,-0.041248,0.536218,-0.020624,19.946289,16.293945,252.375000,-1.000000,1.999194
36,2026-03-19,16:37:29.446,5.172607,5.172974,5.172956,0.423965,0.425301,0.429006,0.536218,0.051559,0.443411,0.041248,19.941406,16.274414,253.687500,-1.000000,2.000402
37,2026-03-19,16:37:29.448,5.172607,5.172974,5.173064,0.423965,0.425301,0.428982,0.494971,0.041248,0.453723,0.010312,19.941406,16.284180,252.187500,-1.000000,1.999970
38,2026-03-19,16:37:29.450,5.172607,5.172974,5.172953,0.423965,0.425301,0.429033,0.732144,-0.061871,0.587778,-0.041248,19.921875,16.269531,255.250000,-1.000000,1.999423
39,2026-03-19,16:37:29.452,5.172607,5.172974,5.172835,0.423965,0.425301,0.429013,0.567154,0.000000,0.433099,0.000000,19.980469,16.298828,252.625000,-1.000000,1.998591
40,2026-03-19,16:37:29.454,5.172607,5.172974,5.172828,0.423965,0.425301,0.429003,0.402164,0.175302,0.309357,0.113431,19.951172,16.279297,252.312500,-1.000000,2.005993
41,2026-03-19,16:37:29.456,5.172607,5.172974,5.172845,0.423965,0.425301,0.428986,0.288733,0.144366,0.288733,0.134055,19.941406,16.284180,250.812500,-1.000000,1.990087
42,2026-03-19,16:37:29.458,5.172607,5.172974,5.172778,0.423965,0.425301,0.428976,0.278421,0.144366,0.288733,0.144366,19.926758,16.264648,252.500000,-1.000000,2.000924
43,2026-03-19,16:37:29.460,5.172607,5.172974,5.172778,0.423965,0.425301,0.428982,0.237173,0.278421,0.206238,0.226862,19.912109,16.245117,249.562500,-1.000000,2.007899
44,2026-03-19,16:37:29.462,5.172607,5.172974,5.172913,0.423965,0.425301,0.429023,0.216550,0.237173,0.164990,0.216550,19.916992,16.254883,251.875000,-1.000000,1.990316
